scene_id,acquisition_date,season_year,season_day,week_index,cloud_cover,valid_pixel_fraction,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_valid_pixels,evi_mean,evi_median,evi_p25,evi_p75,evi_valid_pixels,ndre_mean,ndre_median,ndre_p25,ndre_p75,ndre_valid_pixels
S2B_MSIL2A_20230603T052649_R105_T43QCB_20230603T103214,2023-06-03 05:26:49.024000+00:00,2023,63,9,21.877924,1.0,0.23599618673324585,0.2062302529811859,0.12660199403762817,0.3328772783279419,22200,0.24389386177062988,0.20170123875141144,0.11659355461597443,0.3473394513130188,22200,0.15970976650714874,0.13252094388008118,0.07368750125169754,0.23150914907455444,22200
S2A_MSIL2A_20230608T052651_R105_T43QCB_20240911T042714,2023-06-08 05:26:51.024000+00:00,2023,68,9,30.083904,1.0,0.2331610769033432,0.20063579082489014,0.1192408874630928,0.3341819941997528,22200,0.23288863897323608,0.1903425008058548,0.10657705366611481,0.3356306552886963,22200,0.15345440804958344,0.12410629540681839,0.06597249209880829,0.22676776349544525,22200
S2A_MSIL2A_20230608T052651_R105_T43QCB_20230608T131118,2023-06-08 05:26:51.024000+00:00,2023,68,9,30.093125,1.0,0.22082409262657166,0.19263321161270142,0.12179262936115265,0.3069654405117035,22200,0.23250712454319,0.1934283822774887,0.11633804440498352,0.32646918296813965,22200,0.14651961624622345,0.12056852877140045,0.06964452564716339,0.20998536050319672,22200
S2B_MSIL2A_20230613T052649_R105_T43QCB_20240925T085840,2023-06-13 05:26:49.024000+00:00,2023,73,10,56.564271,0.5015765765765766,0.2186547964811325,0.18135245144367218,0.12002134323120117,0.29853612184524536,11135,0.26106777787208557,0.20746277272701263,0.13182702660560608,0.3579576015472412,11135,0.14738592505455017,0.1143237054347992,0.06922595202922821,0.20780596137046814,11135
S2B_MSIL2A_20230613T052649_R105_T43QCB_20230613T123052,2023-06-13 05:26:49.024000+00:00,2023,73,10,56.624645,0.5011711711711712,0.2135148048400879,0.17909017205238342,0.12160824984312057,0.28792279958724976,11126,0.2592358887195587,0.20888857543468475,0.13659098744392395,0.3510282039642334,11126,0.14375656843185425,0.1128586083650589,0.07056228071451187,0.2005695253610611,11126
S2B_MSIL2A_20230623T052649_R105_T43QCB_20230623T130207,2023-06-23 05:26:49.024000+00:00,2023,83,11,41.920114,0.4494594594594595,0.2564167082309723,0.2232353836297989,0.1307496279478073,0.3703078627586365,9978,0.2988242506980896,0.24809309840202332,0.13643360137939453,0.4332526922225952,9978,0.1778055876493454,0.14623087644577026,0.07560165971517563,0.26465344429016113,9978
S2B_MSIL2A_20230623T052649_R105_T43QCB_20240925T212624,2023-06-23 05:26:49.024000+00:00,2023,83,11,41.880423,0.4486936936936937,0.26293089985847473,0.22785960137844086,0.12863580882549286,0.3853961229324341,9961,0.30049771070480347,0.24715784192085266,0.1310589611530304,0.44223541021347046,9961,0.18255798518657684,0.15027661621570587,0.07490348070859909,0.2747747600078583,9961
S2A_MSIL2A_20240403T052641_R105_T43QCB_20240403T114958,2024-04-03 05:26:41.024000+00:00,2024,2,0,6.13642,0.9527027027027027,0.21581947803497314,0.19999998807907104,0.135966956615448,0.28409963846206665,21150,0.22683307528495789,0.20431315898895264,0.13359181582927704,0.3019733726978302,21150,0.14503894746303558,0.12818509340286255,0.07998888194561005,0.1971590518951416,21150
S2B_MSIL2A_20240408T052649_R105_T43QCB_20240408T091352,2024-04-08 05:26:49.024000+00:00,2024,7,1,0.006181,1.0,0.23480132222175598,0.21302956342697144,0.13560888171195984,0.3201141357421875,22200,0.24169977009296417,0.2125011682510376,0.12925812602043152,0.33338356018066406,22200,0.16520771384239197,0.14307887852191925,0.08411997556686401,0.23079556226730347,22200
S2A_MSIL2A_20240413T052651_R105_T43QCB_20240413T112557,2024-04-13 05:26:51.024000+00:00,2024,12,1,4.130701,1.0,0.23388069868087769,0.20905530452728271,0.12709030508995056,0.3268645405769348,22200,0.23207616806030273,0.20106910169124603,0.11678863316774368,0.3275546431541443,22200,0.1589738130569458,0.13392584025859833,0.07383134961128235,0.2280937284231186,22200
