season_year,week_index,scene_count,valid_pixel_fraction,week_mid_date,evi_observation_count,evi,ndre_observation_count,ndre,ndvi_observation_count,ndvi,missing_data,evi_smooth,ndre_smooth,ndvi_smooth
2024,5,1,1.0,2024-05-09,1,0.21247684955596924,1,0.13244614005088806,1,0.2037670910358429,False,0.2143772691488266,0.14346608519554138,0.21068629622459412
2024,6,2,1.0,2024-05-16,2,0.22861523181200027,2,0.1468820944428444,2,0.2266911119222641,False,0.22054604068398476,0.13966411724686623,0.2152291014790535
2024,7,0,,2024-05-23,0,,0,,0,,True,,,
2024,8,2,1.0,2024-05-30,2,0.22277064621448517,2,0.13819405436515808,2,0.2102176547050476,False,0.22277064621448517,0.13819405436515808,0.2102176547050476
2024,9,0,,2024-06-06,0,,0,,0,,True,,,
2024,10,1,0.9581981981981982,2024-06-13,1,0.24352985620498657,1,0.14803002774715424,1,0.2272566258907318,False,0.27638043463230133,0.17193323373794556,0.2601349353790283
2024,11,1,0.5677927927927928,2024-06-20,1,0.3092310130596161,1,0.19583643972873688,1,0.29301324486732483,False,0.27638043463230133,0.17193323373794556,0.2601349353790283
2024,12,0,,2024-06-27,0,,0,,0,,True,,,
2024,13,0,,2024-07-04,0,,0,,0,,True,,,
2024,14,0,,2024-07-11,0,,0,,0,,True,,,
2024,15,0,,2024-07-18,0,,0,,0,,True,,,
2024,16,0,,2024-07-25,0,,0,,0,,True,,,
2024,17,0,,2024-08-01,0,,0,,0,,True,,,
2024,18,0,,2024-08-08,0,,0,,0,,True,,,
2024,19,0,,2024-08-15,0,,0,,0,,True,,,
2024,20,0,,2024-08-22,0,,0,,0,,True,,,
2024,21,0,,2024-08-29,0,,0,,0,,True,,,
2025,0,1,1.0,2025-04-04,1,0.22204868495464325,1,0.12762665748596191,1,0.19031280279159546,False,0.21853114664554596,0.13403892517089844,0.20364265888929367
2025,1,2,1.0,2025-04-11,2,0.21501360833644867,2,0.14045119285583496,2,0.21697251498699188,False,0.21501360833644867,0.12762665748596191,0.19439488649368286
2025,2,2,1.0,2025-04-18,2,0.19819728285074234,2,0.12244591116905212,2,0.19439488649368286,False,0.19819728285074234,0.12244591116905212,0.19439488649368286
2025,3,1,1.0,2025-04-25,1,0.1938009262084961,1,0.12041302025318146,1,0.19211162626743317,False,0.19819728285074234,0.12244591116905212,0.19439488649368286
2025,4,1,0.9903603603603603,2025-05-02,1,0.20978885889053345,1,0.1344132423400879,1,0.20007580518722534,False,0.19441726803779602,0.12191250175237656,0.20007580518722534
2025,5,1,1.0,2025-05-09,1,0.19441726803779602,1,0.12191250175237656,1,0.20115461945533752,False,0.20978885889053345,0.1344132423400879,0.20115461945533752
2025,6,1,0.24527027027027026,2025-05-16,1,0.28780120611190796,1,0.13971208035945892,1,0.202351912856102,False,0.241109237074852,0.13081229105591774,0.20175326615571976
2025,7,0,,2025-05-23,0,,0,,0,,True,,,
2025,8,2,0.7029279279279279,2025-05-30,2,0.3735610693693161,2,0.20894618332386017,2,0.3121752440929413,False,0.37521999329328537,0.2083532065153122,0.325916051864624
2025,9,1,0.912027027027027,2025-06-06,1,0.37687891721725464,1,0.20776022970676422,1,0.33965685963630676,False,0.37521999329328537,0.2083532065153122,0.325916051864624
2025,10,0,,2025-06-13,0,,0,,0,,True,,,
2025,11,0,,2025-06-20,0,,0,,0,,True,,,
2025,12,0,,2025-06-27,0,,0,,0,,True,,,
2025,13,0,,2025-07-04,0,,0,,0,,True,,,
2025,14,0,,2025-07-11,0,,0,,0,,True,,,
2025,15,0,,2025-07-18,0,,0,,0,,True,,,
2025,16,0,,2025-07-25,0,,0,,0,,True,,,
2025,17,0,,2025-08-01,0,,0,,0,,True,,,
2025,18,0,,2025-08-08,0,,0,,0,,True,,,
2025,19,0,,2025-08-15,0,,0,,0,,True,,,
2025,20,0,,2025-08-22,0,,0,,0,,True,,,
2025,21,0,,2025-08-29,0,,0,,0,,True,,,
2026,0,2,0.8210135135135135,2026-04-04,2,0.19340616464614868,2,0.134040929377079,2,0.21840322762727737,False,0.19795531406998634,0.1339535154402256,0.21427219733595848
2026,1,2,1.0,2026-04-11,2,0.202504463493824,2,0.1338661015033722,2,0.2101411670446396,False,0.19795531406998634,0.1339535154402256,0.21427219733595848
2026,2,0,,2026-04-18,0,,0,,0,,True,,,
2026,3,0,,2026-04-25,0,,0,,0,,True,,,
2026,4,0,,2026-05-02,0,,0,,0,,True,,,
2026,5,0,,2026-05-09,0,,0,,0,,True,,,
2026,6,0,,2026-05-16,0,,0,,0,,True,,,
2026,7,0,,2026-05-23,0,,0,,0,,True,,,
2026,8,0,,2026-05-30,0,,0,,0,,True,,,
2026,9,0,,2026-06-06,0,,0,,0,,True,,,
2026,10,0,,2026-06-13,0,,0,,0,,True,,,
2026,11,0,,2026-06-20,0,,0,,0,,True,,,
2026,12,0,,2026-06-27,0,,0,,0,,True,,,
2026,13,0,,2026-07-04,0,,0,,0,,True,,,
2026,14,0,,2026-07-11,0,,0,,0,,True,,,
2026,15,0,,2026-07-18,0,,0,,0,,True,,,
2026,16,0,,2026-07-25,0,,0,,0,,True,,,
2026,17,0,,2026-08-01,0,,0,,0,,True,,,
2026,18,0,,2026-08-08,0,,0,,0,,True,,,
2026,19,0,,2026-08-15,0,,0,,0,,True,,,
2026,20,0,,2026-08-22,0,,0,,0,,True,,,
2026,21,0,,2026-08-29,0,,0,,0,,True,,,
